-10.000	-0.385	0.134	-0.038
-9.500	-0.324	0.117	-0.032
-9.000	-0.332	0.113	-0.034
-8.500	-0.391	0.116	-0.036
-8.000	-0.320	0.101	-0.032
-7.500	-0.372	0.101	-0.029
-7.000	-0.386	0.095	-0.023
-6.500	-0.390	0.091	-0.017
-5.500	-0.435	0.084	-0.009
-5.000	-0.445	0.079	-0.008
-4.500	-0.443	0.074	-0.005
-3.500	-0.277	0.041	-0.055
-3.000	-0.218	0.036	-0.057
-2.500	-0.164	0.032	-0.059
-2.000	-0.093	0.030	-0.063
-1.500	0.005	0.026	-0.070
-1.000	0.054	0.026	-0.066
-0.500	0.140	0.028	-0.074
0.000	0.221	0.029	-0.081
0.500	0.295	0.030	-0.086
1.000	0.364	0.031	-0.089
1.500	0.435	0.032	-0.093
2.000	0.509	0.033	-0.096
2.500	0.572	0.034	-0.097
3.000	0.642	0.035	-0.099
3.500	0.720	0.034	-0.101
4.000	0.784	0.034	-0.100
4.500	0.844	0.034	-0.099
5.000	0.888	0.035	-0.096
5.500	0.950	0.034	-0.094
6.000	1.015	0.033	-0.092
6.500	1.085	0.031	-0.091
7.000	1.149	0.031	-0.090
7.500	1.191	0.032	-0.086
8.000	1.251	0.032	-0.085
8.500	1.284	0.033	-0.081
9.000	1.330	0.034	-0.078
9.500	1.355	0.037	-0.074
10.000	1.391	0.039	-0.070
10.500	1.404	0.042	-0.065
11.000	1.416	0.045	-0.059
11.500	1.429	0.050	-0.054
12.000	1.442	0.054	-0.050
12.500	1.415	0.060	-0.043
13.000	1.429	0.067	-0.040
13.500	1.131	0.109	-0.053
14.000	1.300	0.090	-0.036
14.500	1.049	0.149	-0.068
15.000	1.018	0.168	-0.077
15.500	0.956	0.202	-0.100
16.000	0.950	0.206	-0.105
