-9.000	-0.501	0.013	-0.108
-8.500	-0.452	0.012	-0.107
-8.000	-0.402	0.010	-0.107
-7.500	-0.348	0.009	-0.107
-7.000	-0.293	0.009	-0.107
-6.500	-0.237	0.008	-0.107
-6.000	-0.180	0.008	-0.107
-5.500	-0.124	0.008	-0.107
-5.000	-0.067	0.007	-0.107
-4.500	-0.009	0.007	-0.107
-4.000	0.048	0.007	-0.107
-3.500	0.106	0.007	-0.108
-3.000	0.163	0.006	-0.108
-2.500	0.221	0.006	-0.108
-2.000	0.279	0.006	-0.109
-1.500	0.336	0.006	-0.109
-1.000	0.393	0.005	-0.109
-0.500	0.449	0.005	-0.109
0.000	0.505	0.005	-0.110
0.500	0.561	0.005	-0.110
1.000	0.617	0.005	-0.110
1.500	0.672	0.005	-0.109
2.000	0.727	0.005	-0.109
2.500	0.781	0.005	-0.109
3.000	0.835	0.006	-0.108
3.500	0.887	0.006	-0.108
4.000	0.939	0.006	-0.107
4.500	0.991	0.007	-0.106
5.000	1.044	0.007	-0.106
5.500	1.097	0.007	-0.106
6.000	1.150	0.008	-0.105
6.500	1.201	0.008	-0.105
7.000	1.251	0.009	-0.104
7.500	1.300	0.009	-0.103
8.000	1.347	0.010	-0.101
8.500	1.393	0.011	-0.100
9.000	1.439	0.012	-0.099
9.500	1.485	0.012	-0.097
10.000	1.527	0.013	-0.095
10.500	1.571	0.014	-0.093
11.000	1.609	0.015	-0.091
11.500	1.646	0.016	-0.088
12.000	1.677	0.016	-0.084
12.500	1.704	0.018	-0.080
13.000	1.735	0.019	-0.076
13.500	1.761	0.020	-0.073
14.000	1.780	0.022	-0.069
14.500	1.803	0.024	-0.066
15.000	1.824	0.026	-0.063
15.500	1.839	0.029	-0.060
16.000	1.848	0.032	-0.057
